42550,1,1.74E+02,6/29/2016
42550,2,2.57E+03,6/29/2016
42718,1,2.21E+02,12/14/2016
42718,2,4.65E+03,12/14/2016
42913,1,7.47E+02,6/27/2017
42913,2,1.47E+04,6/27/2017
43074,1,2.30E+02,12/5/2017
43074,2,3.42E+03,12/5/2017
43278,1,6.95E+02,6/27/2018
43278,2,1.16E+04,6/27/2018
43445,1,1.24E+02,12/11/2018
43445,2,2.35E+03,12/11/2018
43642,1,3.63E+02,6/26/2019
43642,2,6.70E+03,6/26/2019
43818,1,1.69E+02,12/19/2019
43818,2,3.00E+03,12/19/2019
43992,1,2.34E+01,6/10/2020
43992,2,2.87E+02,6/10/2020
44182,1,6.06E+01,12/17/2020
44182,2,1.01E+03,12/17/2020
44369,1,3.77E+02,6/22/2021
44369,2,5.59E+03,6/22/2021
44552,1,2.02E+02,12/22/2021
44552,2,3.41E+03,12/22/2021
44552,3,5.21E+02,12/22/2021
44552,4,6.00E+01,12/22/2021
44552,5,1.51E+01,12/22/2021
44552,7,5.14E+01,12/22/2021
44733,1,3.35E+02,6/21/2022
44733,2,5.16E+03,6/21/2022
44733,3,1.29E+03,6/21/2022
44733,4,5.55E+01,6/21/2022
44733,5,1.90E+00,6/21/2022
44733,7,1.83E+01,6/21/2022
44909,1,1.01E+02,12/14/2022
44909,2,6.52E+02,12/14/2022
44909,3,1.28E+03,12/14/2022
44909,4,3.58E+01,12/14/2022
44909,5,9.50E+00,12/14/2022
44909,7,5.90E+00,12/14/2022
45097,1,4.61E+02,6/20/2023
45097,2,4.06E+03,6/20/2023
45097,3,2.29E+03,6/20/2023
45097,4,7.53E+01,6/20/2023
45097,5,6.98E+00,6/20/2023
45097,6,9.55E+01,6/20/2023
45097,7,1.08E+01,6/20/2023
45279,1,2.26E+02,12/19/2023
45279,2,1.72E+03,12/19/2023
45279,3,8.92E+02,12/19/2023
45279,4,4.11E+01,12/19/2023
45279,5,3.43E+00,12/19/2023
45279,6,3.78E+01,12/19/2023
45279,7,7.07E+00,12/19/2023
45461,1,4.42E+02,6/18/2024
45461,2,6.05E+03,6/18/2024
45461,3,1.92E+03,6/18/2024
45461,4,2.66E+01,6/18/2024
45461,5,4.01E+00,6/18/2024
45461,6,6.90E+01,6/18/2024
45461,7,9.58E+00,6/18/2024
